platform,placement,status,scheduled_for,campaign_name,deleted_at,body
facebook,feed,posted,2026-01-10T11:17:24.056+00:00,Quiz Night - February 4th 2026,,"Get your thinking caps ready for Quiz Night on Wednesday 4 February at 7pm! Our February edition is packed with questions inspired by Valentine’s, Pancake Day, and all things seasonal — but fun for everyone, no matter your speciality. Gather a team (up to six), or come along and we’ll help pair you up. Entry’s just £3 per person, cash only, with fab prizes including a £25 bar voucher and even a bottle of wine for second-to-last place — because everyone deserves a cheer! Arrive from 6:45pm and be seated by 6:55pm so we can start sharp. Book now to guarantee your spot and enjoy a meal from our kitchen before the quiz kicks off. #theanchor #PubQuiz #CityNightOut
Book now: https://vip-club.uk/fb69cc15."
instagram,feed,posted,2026-01-10T11:17:24.056+00:00,Quiz Night - February 4th 2026,,"Get your thinking caps on for Quiz Night at we! Wednesday 4 February, 7pm sharp – a fun evening of tricky questions, a cheeky mini-challenge, and plenty of laughs. Teams up to 6, £3 per person cash, food served until 9pm. Whether you’re flying solo or with mates, we’ll find you a team. Book now to secure your spot! Details in bio. #theanchor #QuizNight #PubQuiz #StanwellMoor #MidweekFun #PubLife #Trivia #PancakeDay #ValentinesVibes #BookNow.
See the link in our bio for details."
instagram,feed,posted,2026-01-14T07:00:00+00:00,Quiz Night - February 4th 2026,,"Ready for a midweek laugh and a bit of brain-teasing fun? Join us on Wednesday 4 February at 7pm for our February Quiz Night. Expect seasonal questions, friendly competition, and a relaxed vibe — plus great prizes to be won! Gather your team or come solo, we’ll help you find one. Seats fill fast, so book now and let the fun begin. Details in bio to book. #theanchor #pubquiz #quiznight #stanwellmoor #midweekfun…
See the link in our bio for details."
facebook,feed,posted,2026-01-14T07:00:00+00:00,Quiz Night - February 4th 2026,,"Wednesday 4 February at 7pm — it’s time for our February Quiz Night! Gather your mates for a mix of fun rounds inspired by Valentine’s, Pancake Day, and all things seasonal. Whether you’re a quiz whizz or just fancy a laugh, it’s the perfect midweek treat. Teams up to six, £3 per person, and a chance to win a £25 bar voucher or even a bottle of wine for second-to-last! Food’s available from 6pm if you fancy making a night of it. Arrive by 6:55pm for a prompt start. Walk-ins welcome but booking is wise to guarantee your spot. Book now and let the friendly competition begin! #theanchor #quiznight #midweekfun
Book now: https://vip-club.uk/fb69cc15."
instagram,story,posted,2026-01-14T10:35:00.435+00:00,Quiz Night Story,,
facebook,story,posted,2026-01-14T10:35:00.435+00:00,Quiz Night Story,,
instagram,feed,posted,2026-01-16T07:00:00+00:00,Sunday Lunch Last Call,,"Sunday Lunch Last Call is here! Our classic roasts are freshly cooked to order and just waiting for you. Remember, all Sunday lunch orders must be in by 1pm Saturday — no stress, just deliciousness. Think triple herb crusted roasties, fluffy Yorkshires, fresh veg, and our signature gravy. Come for the lunch, stay for the warm welcome. Check the link in our bio to book your Sunday feast. #theanchor #SundayLunch #RoastDinner #YorkshirePudding #FreshFood #FamilyTime #PubClassics #SundayTreat #PreOrder #SundayFeast."
facebook,feed,posted,2026-01-16T07:00:00+00:00,Sunday Lunch Last Call,,"Sunday Lunch Last Call: Week 1 is here! Our classic Sunday roast is cooked fresh to order and demands a little planning — all lunch orders must be placed by 1pm on Saturday. Don’t worry, our regular menu is still packed with pub favourites if you fancy something different on the day. But those triple herb-crusted roast potatoes, fluffy Yorkshire puddings, fresh veg, and our signature gravy? That’s a tradition worth savouring. Tables under six require no deposit, and larger parties just £5 per head. Secure your spot for a proper Sunday feast at we this weekend. Order your Sunday lunch in time and join us for a meal you won’t forget! #theanchor #SundayLunch #PubClassics
Learn more: https://www.the-anchor.pub/."
instagram,feed,posted,2026-01-17T07:00:00+00:00,Toby Urguhart Valentines Day,,"Save the date: Saturday 14 February from 8pm! Toby Urquhart brings live soulful classics to we for a Valentine’s party night like no other. Whether with your other half, mates, or family, join us for great food, music, drinks, and a lively atmosphere. Book a table from 6pm for dinner, or just drop in to enjoy the tunes. Prosecco bottles at £19.99 for the night! Find out more. #theanchor #ValentinesDay #LiveMusic #StanwellMoor…
See the link in our bio for details."
facebook,feed,posted,2026-01-17T07:00:00+00:00,Toby Urguhart Valentines Day,,"Mark your diaries for Saturday 14 February at 8pm—our first Live at we night of 2026 with the fantastic Toby Urquhart! Whether you're celebrating Valentine’s Day with a loved one, meeting mates, or bringing the family, join us for a lively party night filled with soulful tunes spanning the last 50 years. Enjoy a full menu from 6pm–9pm, then stick around for our speedy pizza late menu until 10:30pm. Prosecco bottles are also £19.99 on the night—cheers to that! Free entry, no tickets needed. Book a table from 6pm to dine or just turn up for the music and great vibes. Find out more and get ready to party with us! #theanchor #LiveAtTheAnchor #ValentinesParty
Find out more: https://vip-club.uk/fbd21c5e."
facebook,feed,posted,2026-01-19T18:48:06.817+00:00,Music Bingo,,"Get ready for a cracking night of Music Bingo at we on Wednesday 11 February, from 7pm! With nearly 200 tunes from the 50s to today, it’s the perfect midweek treat for all ages. Fancy winning some lovely prizes? Mark your bingo cards as you listen – chocolate, a £10 food voucher, and a bottle of Prosecco could be yours! Enjoy stone-baked pizzas and our full menu from 4pm to 9pm. Whether you’re here to sing along or simply soak up the fun, it’s a night not to miss. Book now to secure your spot – we can’t wait to see you there! #theanchor #MusicBingo #FamilyNight
Book now: https://vip-club.uk/fb8fbe16."
instagram,feed,posted,2026-01-19T18:48:06.817+00:00,Music Bingo,,"Get ready for Music Bingo at we on Wednesday 11 February from 7pm! 🎶 Sing along and mark your cards as we play two rounds of hits from the 50s to today. Win chocolate, food vouchers, or even a bottle of Prosecco — plenty of chances to take home a prize! Bring the family, share some stone-baked pizza, and make midweek memorable. Book now — details in bio.
Book now via the link in our bio.
#theanchor #MusicBingo #MidweekFun #FamilyFriendly #LiveMusic #Prosecco #PizzaNight #BingoNight #WinPrizes #GoodTimes."
facebook,feed,posted,2026-01-21T07:00:00+00:00,Quiz Night - February 4th 2026,,"Ready for a night of fun and friendly rivalry? Join us on Wednesday 4 February at 7pm for our February Quiz Night at we. Expect questions themed around Valentine’s, Pancake Day, and the season, with plenty of variety to keep everyone involved. Bring a team of up to six or come solo — we’ll help you find a spot. Entry is just £3 per person, cash only, and the kitchen’s open from 6pm if you want to settle in with a meal first. Fancy winning a £25 bar voucher? Or maybe a cheeky bottle of wine for second-to-last? Spaces fill fast, so book now and secure your place! #theanchor #quiznight #pubquiz
Book now: https://vip-club.uk/fb69cc15."
instagram,feed,posted,2026-01-21T07:00:00+00:00,Quiz Night - February 4th 2026,,"Put your thinking caps on for Quiz Night at we! Join us Wednesday 4 February at 7pm for a fun-filled evening of February-themed questions and friendly banter. Teams up to 6, £3 per person entry, and plenty of prizes to be won. Arrive early from 6:45pm for a seat and a chance to settle in. Book now to guarantee your spot — solo players welcome! Details and booking info in bio. #theanchor…
See the link in our bio for details."
facebook,story,scheduled,2026-01-21T07:00:00+00:00,Quiz Night Story,2026-01-19T21:35:49.367+00:00,
instagram,story,scheduled,2026-01-21T07:00:00+00:00,Quiz Night Story,2026-01-19T21:35:51.319+00:00,
instagram,feed,posted,2026-01-23T07:00:00+00:00,Sunday Lunch Last Call,,"Sunday Lunch Last Call — Week 2 is here! Don’t forget to pre-order your delicious Sunday roast by 1pm this Saturday. Enjoy triple herb crusted roasties, fluffy Yorkshire puddings, fresh veg, and our signature gravy. Not feeling a roast? Our regular menu’s packed with classic pub favourites too. No deposit needed for under six, just £5 per head for larger tables. Check the link in our bio to book your Sunday feast!…
See the link in our bio for details."
facebook,feed,posted,2026-01-23T07:00:00+00:00,Sunday Lunch Last Call,,"Last call for our famous Sunday Lunch next week! Remember, all orders must be in by 1pm on Saturday to enjoy our triple herb crusted roast potatoes, fluffy Yorkshire puddings, fresh vegetables, and signature gravy—all cooked fresh to order. Prefer to pop in without pre-ordering? Our regular menu is just as packed with flavour and pub classics to satisfy your cravings. Tables of six or fewer don’t need a deposit, but groups larger than that require just £5 per head. Don’t miss out on this timeless treat—secure your Sunday spot with us today! #theanchor #SundayLunch #PubClassics
Learn more: https://www.the-anchor.pub/."
instagram,feed,posted,2026-01-24T07:00:00+00:00,Toby Urguhart Valentines Day,,"Saturday 14 February is not just Valentine’s — it’s our first Live at we night of 2026! 🎶 Join us from 8pm for Toby Urquhart’s soulful acoustic set, then party tunes until midnight. Pop in for dinner from 6pm or just drinks and music. Prosecco bottles at a Valentine’s special £19.99 too! Everyone’s welcome — couples, mates, families, all of you. Free entry, no tickets. Find out more.
Find out more via the link in our bio.
#theanchor #livemusic #ValentinesDay #SurreyNights #StanwellMoor #AcousticNight #PartyVibes #Prosecco #PizzaLateMenu #SaturdayNight."
facebook,feed,posted,2026-01-24T07:00:00+00:00,Toby Urguhart Valentines Day,,"Save the date: Saturday 14 February at 8pm for Toby Urquhart live at we! Our first “Live at we” night of 2026 is a proper Valentine’s party for everyone—couples, mates, families, or anyone up for a brilliant night out. Enjoy soulful vocals, classics from the last 50 years, a full menu till 9pm, then pizza plates till 10:30pm. Pop in for live music, drinks, and a lively party atmosphere until midnight. Entry’s free, no tickets needed. Fancy dining? Book a table from 6pm, last bookings 8:30pm. Find out more and get ready to celebrate love, friendship, and great tunes with us! #theanchor #livemusic #valentinesparty
Find out more: https://vip-club.uk/fbd21c5e."
